Site,Median,Mean,p-value
1,-0.02608150631103042,0.018095151794486713,0.9681404846248375
2,-0.03316425496373063,-0.06283065677874328,0.23829917887187607
3,0.05484420891836943,0.04224874107366847,0.03163305724523892
4,0.16950763011616526,0.1296689616635861,2.6736745683777034e-5
5,0.0023119508480128857,-0.018479211223147596,0.8703505597099263
6,-0.05148397468758022,-0.08229494135621955,7.576333862631386e-4
7,-0.09041505841028814,-0.09634157486745772,1.7312368729330946e-5
8,-0.05890894852208783,-0.043903751328224085,0.18450425626379197
9,0.01503991847525678,0.012090708865107234,0.30339770064881555
10,-0.01905327496241903,-0.021666838588324442,0.2965961555601802
11,0.08077110274722843,0.08418521711521525,7.963320658289079e-6
