Site,Median,Median_Percentile,Median_p-value,Mean,Mean_Percentile,Mean_p-value
1,0.0678949418526255,0.873,0.127,0.1281750001355572,0.986,0.014000000000000012
2,-0.0666675242670649,0.083,0.917,-0.10850181830495884,0.037,0.963
3,0.008258709950687065,0.562,0.43799999999999994,0.02618061946512465,0.695,0.30500000000000005
4,0.04436094469748973,0.649,0.351,0.0024213945574208403,0.536,0.46399999999999997
5,-0.0330177989838839,0.243,0.757,-0.0830770290122949,0.023,0.977
6,0.01457919468794781,0.667,0.33299999999999996,-0.013036983903978096,0.402,0.598
7,-0.0758253815047886,0.021,0.979,-0.1171418706846033,0,1
8,-0.08658701841013053,0.034,0.966,-0.07122027490108959,0.078,0.922
9,0.034865810233020274,0.817,0.18300000000000005,0.013249556461731482,0.696,0.30400000000000005
10,-6.125449513400343e-14,0.465,0.5349999999999999,-0.03172416912007618,0.22,0.78
11,0.07296948303216981,0.967,0.03300000000000003,0.04640238007653881,0.943,0.05700000000000005
