Site,Median,Mean,p-value
1,0.0678949418526255,0.1281750001355572,0.10021431702259084
2,-0.0666675242670649,-0.10850181830495884,0.24655627358589313
3,0.008258709950687065,0.02618061946512465,0.5524508781307581
4,0.04436094469748973,0.0024213945574208403,0.7332536215530067
5,-0.0330177989838839,-0.0830770290122949,0.056017400633731035
6,0.01457919468794781,-0.013036983903978096,0.9228665758627586
7,-0.0758253815047886,-0.1171418706846033,0.001039516943025126
8,-0.08658701841013053,-0.07122027490108959,0.06589938029143837
9,0.034865810233020274,0.013249556461731482,0.21333343938491686
10,-6.125449513400343e-14,-0.03172416912007618,0.9896729467062649
11,0.07296948303216981,0.04640238007653881,0.06445015962484003
