PlotID,Year,Area,StArea,Count,Plot,SubPlot,Site,SiteYear,Latitude,Longitude,Elevation,Region,RegionRank,lambda,SiteID,Resurrection,GenomicsBaseline,GenomicsTimeSeries,Haley,CoreDemography,density,logdens,reldens,logreldens,SiteLatitude
4,2010,NA,NA,2,1,4,Carlon,Carlon:2010,37.81006,-119.8568,1320,C2,4,0.996547427838375,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
4,2011,0.13,0.26,2,1,4,Carlon,Carlon:2011,37.81006,-119.8568,1320,C2,4,0.295206577753085,1,N,Y,N,N,Y,15.384615384615383,2.7333680090865,1,0,37.81006
4,2013,NA,NA,2,1,4,Carlon,NA,NA,NA,NA,NA,NA,NA,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
4,2014,0,NA,1,1,4,Carlon,Carlon:2014,37.81006,-119.8568,1320,C2,4,1.0328272919733,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
5,2010,NA,NA,2,1,5,Carlon,Carlon:2010,37.81006,-119.8568,1320,C2,4,0.996547427838375,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
5,2011,12.75,13.27,3,1,5,Carlon,Carlon:2011,37.81006,-119.8568,1320,C2,4,0.295206577753085,1,N,Y,N,N,Y,0.23529411764705882,-1.4469189829363254,1,0,37.81006
5,2013,NA,NA,3,1,5,Carlon,NA,NA,NA,NA,NA,NA,NA,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
5,2017,0,NA,1,1,5,Carlon,Carlon:2017,37.81006,-119.8568,1320,C2,4,10.7961999236987,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
6,2010,NA,NA,26,1,6,Carlon,Carlon:2010,37.81006,-119.8568,1320,C2,4,0.996547427838375,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
6,2011,81.75,16.45,26,1,6,Carlon,Carlon:2011,37.81006,-119.8568,1320,C2,4,0.295206577753085,1,N,Y,N,N,Y,0.3180428134556575,-1.1455692717558807,0.6572884811416922,-0.4196322683729444,37.81006
6,2013,NA,NA,26,1,6,Carlon,NA,NA,NA,NA,NA,NA,NA,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
6,2016,0,NA,1,1,6,Carlon,Carlon:2016,37.81006,-119.8568,1320,C2,4,0.293035166620035,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
6,2017,6.2,7.14,3,1,6,Carlon,Carlon:2017,37.81006,-119.8568,1320,C2,4,10.7961999236987,1,N,Y,N,N,Y,0.48387096774193544,-0.7259370033829363,1,0,37.81006
7,2019,0,NA,1,2,0,Carlon,NA,NA,NA,NA,NA,NA,NA,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
12,2011,0,NA,1,2,5,Carlon,Carlon:2011,37.81006,-119.8568,1320,C2,4,0.295206577753085,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
12,2012,NA,NA,1,2,5,Carlon,NA,NA,NA,NA,NA,NA,NA,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
12,2013,NA,NA,1,2,5,Carlon,NA,NA,NA,NA,NA,NA,NA,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
15,2011,22.4,44.8,2,3,1,Carlon,Carlon:2011,37.81006,-119.8568,1320,C2,4,0.295206577753085,1,N,Y,N,N,Y,0.08928571428571429,-2.4159137783010487,1,0,37.81006
15,2013,NA,NA,2,3,1,Carlon,NA,NA,NA,NA,NA,NA,NA,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
16,2010,NA,NA,3,4,1,Carlon,Carlon:2010,37.81006,-119.8568,1320,C2,4,0.996547427838375,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
16,2011,4.4,4.43,3,4,1,Carlon,Carlon:2011,37.81006,-119.8568,1320,C2,4,0.295206577753085,1,N,Y,N,N,Y,0.6818181818181818,-0.38299225225610584,1,0,37.81006
16,2013,NA,NA,3,4,1,Carlon,NA,NA,NA,NA,NA,NA,NA,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
17,2010,NA,NA,1,5,1,Carlon,Carlon:2010,37.81006,-119.8568,1320,C2,4,0.996547427838375,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
17,2011,88.7,24.76,33,5,1,Carlon,Carlon:2011,37.81006,-119.8568,1320,C2,4,0.295206577753085,1,N,Y,N,N,Y,0.37204058624577224,-0.9887523278490536,1,0,37.81006
17,2013,NA,NA,33,5,1,Carlon,NA,NA,NA,NA,NA,NA,NA,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
17,2014,0,NA,1,5,1,Carlon,Carlon:2014,37.81006,-119.8568,1320,C2,4,1.0328272919733,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
18,2010,145.72,34.83,99,6,1,Carlon,Carlon:2010,37.81006,-119.8568,1320,C2,4,0.996547427838375,1,N,Y,N,N,Y,0.6793851221520725,-0.3865671220057731,0.27564407657637713,-1.2886448231075829,37.81006
18,2011,150.93,31.74,372,6,1,Carlon,Carlon:2011,37.81006,-119.8568,1320,C2,4,0.295206577753085,1,N,Y,N,N,Y,2.464718743788511,0.9020777011018096,1,0,37.81006
18,2012,157.64,35.04,247,6,1,Carlon,NA,NA,NA,NA,NA,NA,NA,1,N,Y,N,N,Y,1.5668612027404214,0.44907438430117436,0.6357160250796017,-0.4530033168006352,37.81006
18,2013,NA,NA,343,6,1,Carlon,NA,NA,NA,NA,NA,NA,NA,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
18,2014,146.63,32.6,203,6,1,Carlon,Carlon:2014,37.81006,-119.8568,1320,C2,4,1.0328272919733,1,N,Y,N,N,Y,1.3844370183454955,0.3252935720527995,0.5617018257496925,-0.5767841290490102,37.81006
18,2015,139.4,34.43,72,6,1,Carlon,Carlon:2015,37.81006,-119.8568,1320,C2,4,0.477277830389502,1,N,Y,N,N,Y,0.5164992826398852,-0.6606813793103682,0.209557087980747,-1.5627590804121778,37.81006
18,2016,139.4,56.74,15,6,1,Carlon,Carlon:2016,37.81006,-119.8568,1320,C2,4,0.293035166620035,1,N,Y,N,N,Y,0.10760401721664276,-2.2292972972242135,0.04365772666265562,-3.1313749983260233,37.81006
18,2017,111.74,43.12,16,6,1,Carlon,Carlon:2017,37.81006,-119.8568,1320,C2,4,10.7961999236987,1,N,Y,N,N,Y,0.1431895471630571,-1.9435860217912215,0.058095694498172604,-2.8456637228930313,37.81006
18,2018,134.32,41.25,20,6,1,Carlon,Carlon:2018,37.81006,-119.8568,1320,C2,4,0.874539071032607,1,N,Y,N,N,Y,0.14889815366289458,-1.9044927392152944,0.060411823474034086,-2.806570440317104,37.81006
18,2019,130.09,50.19,14,6,1,Carlon,NA,NA,NA,NA,NA,NA,NA,1,N,Y,N,N,Y,0.1076178030594204,-2.2291691889982093,0.043663319934834195,-3.131246890100019,37.81006
18,2020,NA,NA,12,6,1,Carlon,NA,NA,NA,NA,NA,NA,NA,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
18,2021,127.54,56.79,11,6,1,Carlon,NA,NA,NA,NA,NA,NA,NA,1,N,Y,N,N,Y,0.08624745177983377,-2.450534768088755,0.034992816927769656,-3.3526124691905648,37.81006
19,2010,115.26,34.78,69,7,1,Carlon,Carlon:2010,37.81006,-119.8568,1320,C2,4,0.996547427838375,1,N,Y,N,N,Y,0.5986465382613222,-0.513083941411261,0.3983720600066253,-0.9203688862364113,37.81006
19,2011,124.44,28.13,187,7,1,Carlon,Carlon:2011,37.81006,-119.8568,1320,C2,4,0.295206577753085,1,N,Y,N,N,Y,1.5027322404371586,0.40728494482515043,1,0,37.81006
19,2012,147.87,33.64,194,7,1,Carlon,NA,NA,NA,NA,NA,NA,NA,1,N,Y,N,N,Y,1.3119632109285182,0.27152464967793194,0.873051882181523,-0.13576029514721846,37.81006
19,2013,NA,NA,197,7,1,Carlon,NA,NA,NA,NA,NA,NA,NA,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
19,2014,134.76,31.6,160,7,1,Carlon,Carlon:2014,37.81006,-119.8568,1320,C2,4,1.0328272919733,1,N,Y,N,N,Y,1.1872959335114277,0.17167839669547477,0.7900914757548773,-0.23560654812967569,37.81006
19,2015,179.34,43.97,62,7,1,Carlon,Carlon:2015,37.81006,-119.8568,1320,C2,4,0.477277830389502,1,N,Y,N,N,Y,0.34571205531392885,-1.06214906047881,0.23005565862708718,-1.4694340053039603,37.81006
19,2016,190.96,50.52,35,7,1,Carlon,Carlon:2016,37.81006,-119.8568,1320,C2,4,0.293035166620035,1,N,Y,N,N,Y,0.18328445747800587,-1.696715920541161,0.12196747533990936,-2.104000865366311,37.81006
19,2017,254,83.34,32,7,1,Carlon,Carlon:2017,37.81006,-119.8568,1320,C2,4,10.7961999236987,1,N,Y,N,N,Y,0.12598425196850394,-2.07159836421881,0.0838367931281317,-2.4788833090439604,37.81006
19,2018,229.56,80.92,23,7,1,Carlon,Carlon:2018,37.81006,-119.8568,1320,C2,4,0.874539071032607,1,N,Y,N,N,Y,0.10019167102282628,-2.300670217311012,0.0666730028988262,-2.707955162136163,37.81006
19,2019,227.12,67.69,20,7,1,Carlon,NA,NA,NA,NA,NA,NA,NA,1,N,Y,N,N,Y,0.08805917576611483,-2.4297462386107247,0.058599378782541865,-2.837031183435875,37.81006
19,2020,NA,NA,13,7,1,Carlon,NA,NA,NA,NA,NA,NA,NA,1,N,Y,N,N,Y,NA,NA,NA,NA,37.81006
19,2021,201.21,38.6,46,7,1,Carlon,NA,NA,NA,NA,NA,NA,NA,1,N,Y,N,N,Y,0.2286168679489091,-1.4757077422906606,0.15213413394418313,-1.8829926871158111,37.81006
20,2010,305.08,96.38,20,7,2,Carlon,Carlon:2010,37.81006,-119.8568,1320,C2,4,0.996547427838375,1,N,Y,N,N,Y,0.06555657532450505,-2.7248417637420466,0.049192973016232495,-3.0120044905576413,37.81006
