Site,pi_snp_set,pi_all_snps
1,0.2997677553719008,0.24477403080348337
2,0.25024801322314044,0.22630985866679582
3,0.32240471074380167,0.16194987213891462
4,0.31636381818181813,0.16558949254494681
5,0.28845681652892563,0.18380070455239098
6,0.3377120611570248,0.13870318264801926
7,0.23315415537190104,0.161780428475958
8,0.23323486942148763,0.12006366004302609
9,0.2860692727272727,0.1469622948443548
10,0.29623312066115703,0.13718065463777546
11,0.3350848082644628,0.1931707753235342
12,0.1642801173553719,0.13420089341804314
13,0.19465486727272738,0.17836445701632114
14,0.20222706611570235,0.1762202541884952
15,0.2046107289256198,0.17393201493247534
16,0.21298695041322316,0.1801200829624883
17,0.2253983636363636,0.193412334759574
18,0.22901751735537185,0.13138102390240858
19,0.1693033636363637,0.16023214692127805
20,0.19256202479338813,0.13764575854639344
21,0.2686135537190083,0.12223118198345165
22,0.31505312066115704,0.15800498852051378
23,0.2962684942148761,0.17676072431739445
24,0.2872988033057851,0.12757402665415654
25,0.3301348330578513,0.15213251451025916
26,0.2723139454545455,0.12948978195486627
27,0.2765840694214876,0.1343810392270735
28,0.26446280991735577,0.07463169673363243
29,0.29527735867768584,0.13082446872711023
30,0.3363637404958676,0.14947675519637646
31,0.21818181818181792,0.12036024137906032
32,0.29196243471074385,0.13362565991822922
33,0.29017830909090914,0.1450339963398846
34,0.32055680000000003,0.134627612562484
35,0.24863626942148753,0.12417224554009039
36,0.3278993520661157,0.13433253744103912
37,0.3063767090909091,0.12327312043999475
38,0.33746562975206607,0.12636421925363844
39,0.3807307388429752,0.22239406704141834
40,0.3497521785123967,0.19046387978258103
41,0.26044855702479325,0.11868424133718665
42,0.20176600000000008,0.07971359875909033
43,0.2885951355371901,0.10496963810769995
44,0.24132237024793401,0.08966720045882708
45,0.36452177685950404,0.14772304193243982
46,0.3365563834710744,0.15525719553447304
47,0.3068504578512397,0.13153099203130558
48,0.2766142148760329,0.11925523612174933
49,0.26377555702479355,0.1216975926806069
50,0.21454530909090902,0.08320687601432727
51,0.11404958677685942,0.050052331547896386
52,0.21845733057851222,0.06741720367371455
53,0.2220384247933885,0.09542446174463493
54,0.2694214876033056,0.21181872184869122
55,0.28158331900826433,0.152448913452896
