Site,pi_snp_set,pi_env578,pi_all_snps
1,0.2684338856304985,0.2684671823899371,0.24477403080348337
2,0.23988279765395892,0.21537395597484277,0.22630985866679582
3,0.30076360117302053,0.31232274842767294,0.16194987213891462
4,0.2818508944281524,0.28259972327044025,0.16558949254494681
5,0.2689244662756598,0.261317106918239,0.18380070455239098
6,0.2858774604105572,0.30685205031446544,0.13870318264801926
7,0.2240712551319648,0.24648835849056605,0.161780428475958
8,0.21816080351906159,0.2091194402515723,0.12006366004302609
9,0.26964141055718477,0.278250534591195,0.1469622948443548
10,0.2727272668621701,0.2884144213836478,0.13718065463777546
11,0.302963431085044,0.3221450062893082,0.1931707753235342
12,0.15740082697947216,0.1408473899371069,0.13420089341804314
13,0.18098026451612906,0.17079142955974844,0.17836445701632114
14,0.1752122404692082,0.17202915094339624,0.1762202541884952
15,0.18316099120234605,0.1629261823899371,0.17393201493247534
16,0.18246261876832845,0.1835647924528302,0.1801200829624883
17,0.2167021055718475,0.1975171320754717,0.193412334759574
18,0.1827957683284458,0.17162829559748427,0.13138102390240858
19,0.17239206451612907,0.1601526855345912,0.16023214692127805
20,0.1739980821114369,0.16666669182389937,0.13764575854639344
21,0.24835460703812318,0.2715584842767296,0.12223118198345165
22,0.27147039882697943,0.2850403647798742,0.15800498852051378
23,0.24229094721407624,0.23518203144654085,0.17676072431739445
24,0.24965272434017596,0.26477988050314466,0.12757402665415654
25,0.28620157184750733,0.29407481132075475,0.15213251451025916
26,0.2431922082111437,0.23270433333333335,0.12948978195486627
27,0.2277615249266862,0.21593294968553456,0.1343810392270735
28,0.17595307917888575,0.17610062893081763,0.07463169673363243
29,0.2752408152492669,0.2969451572327044,0.13082446872711023
30,0.28934515249266873,0.295597572327044,0.14947675519637646
31,0.19648093841642233,0.21383647798742142,0.12036024137906032
32,0.24307938709677418,0.2575159559748428,0.13362565991822922
33,0.25729278299120234,0.2707381635220126,0.1450339963398846
34,0.2649328797653959,0.27514072327044026,0.134627612562484
35,0.23558154252199415,0.2417714025157233,0.12417224554009039
36,0.2880417419354839,0.30357222641509435,0.13433253744103912
37,0.251859862170088,0.2649122641509434,0.12327312043999475
38,0.283968780058651,0.320754786163522,0.12636421925363844
39,0.33894121407624633,0.3479311823899371,0.22239406704141834
40,0.3225155894428153,0.3562544716981132,0.19046387978258103
41,0.2332424985337243,0.23203047169811322,0.11868424133718665
42,0.15375830205278593,0.17792120125786165,0.07971359875909033
43,0.23290983870967738,0.26778487421383645,0.10496963810769995
44,0.18132946041055725,0.17924532075471705,0.08966720045882708
45,0.3076035982404692,0.32479775471698114,0.14772304193243982
46,0.2880253255131965,0.3053458238993711,0.15525719553447304
47,0.2678397976539589,0.27742848427672956,0.13153099203130558
48,0.22561300879765395,0.21134830188679246,0.11925523612174933
49,0.24307764809384166,0.2603442830188679,0.1216975926806069
50,0.1851416246334311,0.19412985534591196,0.08320687601432727
51,0.09384164222873903,0.10062893081761008,0.050052331547896386
52,0.14809385923753673,0.1635220314465409,0.06741720367371455
53,0.17086988269794723,0.19035628301886792,0.09542446174463493
54,0.29325513196480946,0.3207547169811321,0.21181872184869122
55,0.2733909736070382,0.29099636477987423,0.152448913452896
