gene,SNPs,hits,Z,top_candidate_p,Z_pVal
0,44,0,3.779743084191498,1.0,0.04565715626881672
1,22,0,0.7027102302773841,1.0,0.6487004659383483
2,10,0,0.1977511682750812,1.0,0.7185079852012088
3,22,0,1.9002499907532444,1.0,0.2157272258187577
4,23,0,0.3352466713908393,1.0,0.7771281116162052
5,6,0,0.8986668259904899,1.0,0.36138059524600696
6,20,1,1.3710430259884538,0.1820930624027693,0.3685638816695316
7,1,0,-0.7857622581058398,1.0,0.9327228301974002
8,1,0,,1.0,
9,1,0,-1.1611148981363995,1.0,0.9749744204173201
10,1,0,0.3167152247047845,1.0,0.5541056208464795
11,1,0,,1.0,
12,1,0,,1.0,
13,1,0,0.9247412714908058,1.0,0.26954211405514916
14,21,1,1.600664045733101,0.1902721317787416,0.29848152514368564
15,90,1,2.8456193010656157,0.5952680273216762,0.4800794370340785
16,81,1,3.452728876334042,0.5569520183738275,0.2810117866187676
17,96,0,2.650097231275829,1.0,0.5582591290326766
18,87,0,3.940788898780489,1.0,0.2097843517526179
19,133,1,2.683745893382255,0.7372874127497717,0.6701880149265328
20,78,0,2.7463582506182775,1.0,0.44068483691492677
21,118,1,3.6174223272696877,0.6945409740716955,0.4114807266780882
22,189,4,4.512799253816668,0.12264118644973158,0.3633618925568748
23,277,1,1.235526828255732,0.9382056307679741,0.9307324658933852
24,162,5,5.3174118954250655,0.02412453131525976,0.18843644568106988
25,238,1,2.0144252573201578,0.9085515572877007,0.8559903102592237
26,145,1,4.692373988501763,0.767135537051994,0.26387237249417284
27,145,1,2.4128495429510375,0.767135537051994,0.7464080934456423
28,105,0,1.9501447604249054,1.0,0.7492436095815718
29,183,1,1.8025520147656613,0.8410572908002125,0.8721649733876069
30,204,1,4.537514388783715,0.8712996589103447,0.3640430341897416
31,199,0,-0.05048624454710742,1.0,0.9858834567188737
32,237,1,5.300720582478484,0.9076278356441421,0.20161725375505224
33,111,3,3.8130766546677815,0.10069344339457838,0.340395693350103
34,99,1,1.3318568765439176,0.6302703623502736,0.843372572508617
35,1,0,-0.15362088674586666,1.0,0.7631234603941593
36,78,1,3.5302591110603996,0.5433902522560855,0.24745981837145337
