Site,pi_snp_set,pi_all_snps
1,0.2997677553719008,0.24477403080348337
2,0.25024801322314044,0.22630985866679582
3,0.32240471074380167,0.16194987213891462
4,0.31636381818181813,0.16558949254494681
5,0.28845681652892563,0.18380070455239098
6,0.3377120611570248,0.13870318264801926
7,0.23315415537190104,0.161780428475958
8,0.23323486942148763,0.12006366004302609
9,0.2860692727272727,0.1469622948443548
10,0.29623312066115703,0.13718065463777546
11,0.3350848082644628,0.1931707753235342
12,0.1642801173553719,0.13420089341804314
14,0.20222706611570235,0.1762202541884952
15,0.2046107289256198,0.17393201493247534
17,0.2253983636363636,0.193412334759574
27,0.2765840694214876,0.1343810392270735
28,0.26446280991735577,0.07463169673363243
29,0.29527735867768584,0.13082446872711023
55,0.28158331900826433,0.152448913452896
