Site,pi_snp_set,pi_env58,pi_all_snps
1,0.2684338856304985,0.2609596910569106,0.24477403080348337
2,0.23988279765395892,0.20794950406504065,0.22630985866679582
3,0.30076360117302053,0.32502442276422766,0.16194987213891462
4,0.2818508944281524,0.3002711382113821,0.16558949254494681
5,0.2689244662756598,0.26588026016260163,0.18380070455239098
6,0.2858774604105572,0.31232351219512194,0.13870318264801926
7,0.2240712551319648,0.2679538130081301,0.161780428475958
8,0.21816080351906159,0.21167240650406502,0.12006366004302609
9,0.26964141055718477,0.29353317886178865,0.1469622948443548
10,0.2727272668621701,0.2885750894308943,0.13718065463777546
11,0.302963431085044,0.3312794390243902,0.1931707753235342
12,0.15740082697947216,0.1385536991869919,0.13420089341804314
14,0.1752122404692082,0.16260165853658537,0.1762202541884952
15,0.18316099120234605,0.14587076422764228,0.17393201493247534
17,0.2167021055718475,0.1971411463414634,0.193412334759574
27,0.2277615249266862,0.2032520650406504,0.1343810392270735
28,0.17595307917888575,0.16260162601626027,0.07463169673363243
29,0.2752408152492669,0.30516836585365853,0.13082446872711023
55,0.2733909736070382,0.30787334146341466,0.152448913452896
