Site,Median,Median_Percentile,Median_p-value,Mean,Mean_Percentile,Mean_p-value
1,-0.040699346,0.049,0.951,0.003398089,0.561,0.439
2,0.028720668,0.918,0.082,0.012951013,0.682,0.318
3,0.064750583,0.999,0.001,0.096360381,1,0
4,0.18242824,0.999,0.001,0.164578598,1,0
5,-3.72E-14,0.541,0.459,-0.021937447,0.145,0.855
6,-0.011677279,0.308,0.692,-0.037693211,0.028,0.972
7,-0.07782983,0,1,-0.10172752,0,1
8,-0.087378243,0,1,-0.083843969,0,1
9,0.020001169,0.866,0.134,0.017880388,0.941,0.059
10,-0.058309361,0,1,-0.044272202,0.006,0.994
11,0.084192853,1,0,0.083981041,1,0
12,-0.129580177,0,1,-0.140696644,0,1
