Site,Year,CE10_chr1_444798,CE10_chr1_12558579,CE10_chr1_36921933,CE10_chr1_37863528,CE10_chr1_38804192,CE10_chr1_38806089,CE10_chr1_38809930,CE10_chr1_42800221,CE10_chr2_3286564,CE10_chr2_5171393,CE10_chr2_6534392,CE10_chr2_9310245,CE10_chr2_9464739,CE10_chr2_18599218,CE10_chr2_18690631,CE10_chr2_18697479,CE10_chr2_18965007,CE10_chr2_18974047,CE10_chr3_689388,CE10_chr3_10712307,CE10_chr3_10805357,CE10_chr3_15058760,CE10_chr3_16265253,CE10_chr3_18772534,CE10_chr3_19541189,CE10_chr3_25122852,CE10_chr3_27884673,CE10_chr3_31533872,CE10_chr3_34111168,CE10_chr3_34361182,CE10_chr3_34938872,CE10_chr3_45576452,CE10_chr3_49427972,CE10_chr4_43424322,CE10_chr4_49079132,CE10_chr5_9282000,CE10_chr5_9839887,CE10_chr5_41935919,CE10_chr6_44342063,CE10_chr6_54474139,CE10_chr7_701615,CE10_chr7_2535310,CE10_chr7_22741377,CE10_chr7_40760110,CE10_chr7_41246261,CE10_chr7_41247812,CE10_chr7_41271416,CE10_chr7_42408406,CE10_chr7_42733456,CE10_chr7_43336930,CE10_chr8_2514047,CE10_chr8_2756411,CE10_chr8_12390215,CE10_chr8_43930850
10,2011,8,0,11,0,2,0,0,13,7,8,0,9,9,2,8,6,9,5,8,13,7,15,14,13,12,14,11,11,12,13,3,10,20,20,0,6,0,19,2,2,11,0,20,11,2,6,3,3,6,5,0,0,9,0
10,2012,12,0,12,0,8,2,3,12,11,7,3,10,4,14,18,18,16,18,10,15,11,14,16,13,12,10,9,9,6,8,4,9,18,18,2,16,4,15,3,8,15,1,20,16,4,9,8,8,9,3,1,0,9,2
10,2014,12,0,15,0,3,1,1,14,10,13,0,8,6,8,12,9,11,10,8,11,9,10,11,11,12,11,9,8,10,9,6,12,16,16,0,13,4,15,1,0,9,7,16,9,4,4,3,2,4,8,0,0,12,0
10,2015,6,0,12,0,4,1,1,11,8,5,0,10,7,10,15,15,16,16,7,14,9,14,15,15,15,12,11,12,12,8,3,16,13,18,0,11,2,17,3,1,16,6,18,16,4,6,5,3,3,5,2,0,5,0
10,2016,9,0,16,0,1,0,1,10,8,6,0,13,7,8,10,7,9,10,9,14,7,10,13,11,12,11,10,10,10,9,5,12,17,18,0,5,1,17,2,2,18,6,18,7,1,2,5,1,10,6,1,0,11,0
11,2010,3,0,15,4,4,3,2,14,10,9,6,10,12,10,13,3,11,9,1,10,9,6,12,10,12,9,9,10,6,8,9,18,10,20,2,7,2,8,5,4,20,7,18,3,5,4,4,2,4,5,2,0,10,0
11,2012,0,0,0,0,4,2,4,2,3,4,0,3,2,2,1,0,1,1,0,3,0,2,3,3,3,3,3,3,3,3,0,4,4,4,0,0,0,2,0,0,4,0,4,2,2,3,0,0,2,2,0,0,0,0
11,2014,2,0,1,2,9,5,4,6,7,10,5,8,5,6,7,5,8,3,2,3,7,8,10,10,8,8,6,8,6,10,1,10,5,10,3,2,4,4,6,4,8,4,7,2,4,4,3,0,6,4,5,0,3,0
11,2015,2,2,8,2,11,5,8,13,11,13,2,12,4,17,19,14,19,18,0,9,8,7,9,12,11,11,9,10,11,11,9,20,6,20,2,4,2,8,2,2,20,5,20,7,3,10,6,2,5,3,2,0,4,0
11,2016,0,0,4,0,12,9,9,12,13,10,0,12,2,14,12,10,13,13,0,8,3,2,11,13,13,12,13,12,10,11,4,18,3,18,0,0,0,12,0,0,18,5,18,4,0,5,6,0,0,0,0,0,0,0
